species,type,english_name
Hylocomiadelphus triquetrus,Moss,Big Shaggy-moss
Vaccinium myrtillus,Angiosperm,Bilberry
Bombus monticola,Bumblebee,Bilberry Bumblebee
Melanocorypha bimaculata,Bird,Bimaculated Lark
Piptoporus betulinus,Fungus,Birch polypore
Elasmostethus interstinctus,True bug,Birch Shieldbug
Prunus padus,Tree,Bird Cherry
Barbula unguiculata,Moss,Birds-claw Beard-moss
Ornithopus perpusillus,Angiosperm,Birds-foot
Trifolium ornithopodioides,Angiosperm,Birds-foot Clover
Nogopterium gracile,Moss,Birds-foot Wing-moss
Neottia nidus-avis,Angiosperm,Birds-nest Orchid
Vicia bithynica,Angiosperm,Bithynian Vetch
Sedum acre,Angiosperm,Biting Stonecrop
Lathyrus linifolius,Angiosperm,Bitter Vetch
Prunus virginiana,Tree,Bitter-berry
Botaurus stellaris,Bird,Bittern
Solanum dulcamara,Angiosperm,Bittersweet
Alnus glutinosa,Tree,Black Alder
Carex atrata,Angiosperm,Black Alpine-sedge
Agrostis gigantea,Angiosperm,Black Bent
Schoenus nigricans,Angiosperm,Black Bog-rush
Ameiurus melas,Fish,Black bullhead
Pterostichus madidus,Beetle,Black Clock
Ribes nigrum,Angiosperm,Black Currant
Sympetrum danae,Dragonfly,Black Darter
Anas rubripes,Bird,Black Duck
Gobius niger,Fish,Black Goby
Lyrurus tetrix,Bird,Black Grouse
Cepphus grylle,Bird,Black Guillemot
Helvella lacunosa,Fungus,Black helvella
Ballota nigra,Angiosperm,Black Horehound
Milvus migrans,Bird,Black Kite
Robinia pseudoacacia,Angiosperm,Black locust
Medicago lupulina,Angiosperm,Black Medick
Brassica nigra,Angiosperm,Black Mustard
Solanum nigrum,Angiosperm,Black Nightshade
Pinus nigra,Tree,Black pine
Rattus rattus,Mammal,Black rat
Phoenicurus ochruros,Bird,Black Redstart
Aporophyla nigra,Moth,Black Rustic
Melanitta americana,Bird,Black Scoter
Tephromela atra var. atra,Lichen,Black Shields
Asplenium adiantum-nigrum,Fern,Black Spleenwort
Ciconia nigra,Bird,Black Stork
Vincetoxicum nigrum,Angiosperm,Black swallow-wort
Chlidonias niger,Bird,Black Tern
Mniotilta varia,Bird,Black-and-white Warbler
Cinclus cinclus cinclus,Bird,Black-bellied Dipper
Coccyzus erythropthalmus,Bird,Black-billed Cuckoo
Fallopia convolvulus,Angiosperm,Black-bindweed
Turdus merula,Bird,Blackbird
Thalassarche melanophris,Bird,Black-browed Albatross
Setophaga fusca,Bird,Blackburnian Warbler
Sylvia atricapilla,Bird,Blackcap
Hygrocybe conica,Fungus,Blackening Waxcap
Emberiza spodocephala,Bird,Black-faced Bunting
Alopecurus myosuroides,Angiosperm,Black-grass
Emberiza melanocephala,Bird,Black-headed Bunting
Chroicocephalus ridibundus,Bird,Black-headed Gull
Russula krombholzii,Fungus,Blackish-purple russula
Podiceps nigricollis,Bird,Black-necked Grebe
Setophaga striata,Bird,Blackpoll Warbler
Limosa limosa,Bird,Black-tailed Godwit
Orthetrum cancellatum,Dragonfly,Black-tailed Skimmer
Prunus spinosa,Angiosperm,Blackthorn
Gavia arctica,Bird,Black-throated Diver
Turdus atrogularis,Bird,Black-throated Thrush
Glareola nordmanni,Bird,Black-winged Pratincole
Himantopus himantopus,Bird,Black-winged Stilt
Silene vulgaris,Angiosperm,Bladder Campion
Carex vesicaria,Angiosperm,Bladder-sedge
Utricularia australis,Angiosperm,Bladderwort
Fucus vesiculosus,Alga (marine),Bladderwrack
Lithophane leautieri,Moth,Blairs Shoulder-knot
Montia fontana,Angiosperm,Blinks
Rumex sanguineus,Angiosperm,Blood-veined Dock
Geranium sanguineum,Angiosperm,Bloody Cranes-bill
Henricia oculata,Sea star,Bloody Henry Starfish
Hemimysis anomala,Shrimp,Bloody-red/carrion shrimp
Arenicola marina,Worm,Blow Lugworm
Erigeron acris,Angiosperm,Blue Fleabane
Phyllodoce caerulea,Angiosperm,Blue Heath
Cyanea lamarckii,Jellyfish,Blue Jellyfish
Lactuca tatarica,Angiosperm,Blue lettuce
Sesleria caerulea,Angiosperm,Blue Moor-grass
Mytilus edulis,Snail,Blue Mussel
Patella pellucida,Limpet,Blue rayed limpet
Monticola solitarius,Bird,Blue Rock Thrush
Cyanistes caeruleus,Bird,Blue Tit
Veronica anagallis-aquatica,Angiosperm,Blue Water-Speedwell
Balaenoptera musculus,Mammal,Blue whale
Hyacinthoides non-scripta,Angiosperm,Bluebell
Plemyria rubiginata,Moth,Blue-bordered Carpet
Merops persicus,Bird,Blue-cheeked Bee-eater
Metzgeria violacea,Liverwort,Blueish Veilwort
Ischnura elegans,Dragonfly,Blue-tailed Damselfly
Luscinia svecica,Bird,Bluethroat
Serratella ignita,Mayfly,Blue-winged Olive
Spatula discors,Bird,Blue-winged Teal
Mya truncata,Clam,Blunt gaper
Juncus subnodulosus,Angiosperm,Blunt-flowered Rush
Callitriche obtusangula,Angiosperm,Blunt-fruited Water-starwort
Potamogeton obtusifolius,Angiosperm,Blunt-leaved Pondweed
Cylindroiulus punctatus,Millipede,Blunt-tailed Snake Millipede
Anthus godlewskii,Bird,Blyths Pipit
Acrocephalus dumetorum,Bird,Blyths Reed Warbler
Dolichonyx oryzivorus,Bird,Bobolink
Bodotria pulchella,Crab,Bodotria pulchella
Narthecium ossifragum,Angiosperm,Bog Asphodel
Vaccinium uliginosum,Angiosperm,Bog Bilberry
Deschampsia setacea,Angiosperm,Bog Hair-grass
Sphagnum,Moss,Bog Moss
Hammarbya paludosa,Angiosperm,Bog Orchid
Anagallis tenella,Angiosperm,Bog Pimpernel
Potamogeton polygonifolius,Angiosperm,Bog Pondweed
Stellaria alsine,Angiosperm,Bog Stitchwort
Stellaria uliginosa,Angiosperm,Bog Stitchwort
Menyanthes trifoliata,Angiosperm,Bogbean
Myrica gale,Angiosperm,Bog-myrtle
Andromeda polifolia,Angiosperm,Bog-rosemary
Carex limosa,Angiosperm,Bog-sedge
Boletus appendiculatus,Fungus,Boletus appendiculatus
Chroicocephalus philadelphia,Bird,Bonapartes Gull
Iduna caligata,Bird,Booted Warbler
Lineus longissimus,Worm,Bootlace Worm
Borago officinalis,Angiosperm,Borage
Eupithecia succenturiata,Moth,Bordered Pug
Pyrrhia umbra,Moth,Bordered Sallow
Bupalus piniaria,Moth,Bordered White
Fumaria muralis subsp. boraei,Angiosperm,Boreaus Ramping-fumitory
Boreochiton ruber,Chiton,Boreochiton ruber
Botanophila brunneilinea,Fly,Botanophila brunneilinea
Botanophila fugax,Fly,Botanophila fugax
Botrylloides leachii,Sea squirt,Botrylloides leachii
Carex rostrata,Angiosperm,Bottle Sedge
Tursiops truncatus,Mammal,Bottle-nosed dolphin
Bovista plumbea,Fungus,Bovista plumbea
Buxus sempervirens,Tree,Box
Acer negundo ,Mussel,Box-elder 
Brachydesmus superus,Millipede,Brachydesmus superus
Brachyiulus pusillus,Millipede,Brachyiulus pusillus
Pteridium aquilinum,Fern,Bracken
Ranunculus baudotii,Angiosperm,Brackish Water-crowfoot
Rubus fruticosus agg.,Angiosperm,Bramble
Rubus,Angiosperm,Brambles
Fringilla montifringilla,Bird,Brambling
Sparganium erectum,Angiosperm,Branched Bur-reed
Myotis brandtii,Mammal,Brandts bat
Halichondria (Halichondria) panicea,Sponge,Breadcrumb Sponge
Branta bernicla,Bird,Brent Goose
Prunus brigantina,Tree,Briançon apricot
Sunira circellaris,Moth,Brick
Onychoprion anaethetus,Bird,Bridled Tern
Lacanobia oleracea,Moth,Bright-line Brown-eye
Somatochlora metallica,Dragonfly,Brilliant Emerald
Opisthograptis luteolata,Moth,Brimstone Moth
Lycia hirtaria,Moth,Brindled Beauty
Dryobotodes eremita,Moth,Brindled Green
Dasypolia templi,Moth,Brindled Ochre
Eupithecia abbreviata,Moth,Brindled Pug
Isolepis setacea,Angiosperm,Bristle Club-rush
Avena strigosa,Grass,Bristle Oat
Carex microglochin,Angiosperm,Bristle Sedge
Cinclus cinclus gularis,Bird,British Dipper
Cystopteris fragilis,Fern,Brittle Bladder-fern
Campylopus fragilis,Moss,Brittle Swan-neck Moss
Dryopteris dilatata,Fern,Broad Buckler-fern
Chloromyia formosa,Fly,Broad Centurion
Porella obtusata,Liverwort,Broad Scalewort
Hecatera bicolorata,Moth,Broad-barred White
Calidris falcinellus,Bird,Broad-billed Sandpiper
Libellula depressa,Dragonfly,Broad-bodied Chaser
Noctua fimbriata,Moth,Broad-bordered Yellow Underwing
Porcellana platycheles,Crab,Broad-clawed Porcelain Crab
Valerianella rimosa,Angiosperm,Broad-fruited Cornsalad
Eriophorum latifolium,Angiosperm,Broad-leaved Cottongrass
Rumex obtusifolius,Angiosperm,Broad-leaved Dock
Epipactis helleborine,Angiosperm,Broad-leaved Helleborine
Salix viminalis x caprea = S. x smithiana,Tree,Broad-leaved Osier
Potamogeton natans,Angiosperm,Broad-leaved Pondweed
Sorbus latifolia,Tree,Broad-leaved Whitebeam
Epilobium montanum,Angiosperm,Broad-leaved Willowherb
Electrophaes corylata,Moth,Broken-barred Carpet
Bombus soroeensis,Bumblebee,Broken-belted Bumblebee
Veronica beccabunga,Angiosperm,Brooklime
Hygroamblystegium fluviatile,Moss,Brook-side Feather-moss
Samolus valerandi,Angiosperm,Brookweed
Cytisus scoparius,Angiosperm,Broom
Dicranum scoparium,Moss,Broom Fork-moss
Ceramica pisi,Moth,Broom Moth
Leptospermum scoparium,Angiosperm,Broom tea-tree
Chesias rufata,Moth,Broom-tip
Broscus cephalotes,Beetle,Broscus cephalotes
Rhynchospora fusca,Angiosperm,Brown Beak-sedge
Agrostis vinealis,Angiosperm,Brown Bent
Krombholziella scabra,Fungus,Brown birch bolete
